CEP,Nome,Latitude,Longitude
27279050,Vitor Hugo Nunes,-22.4950947,-44.1353094
23815057,Ágatha Rocha,-22.8622877,-43.7709706
25976030,Nicole Mendes,-22.4356818,-42.9413327
25230480,Henry Rezende,-22.6455737,-43.3149785
26530970,Bruna da Paz,-22.8064684,-43.4160268
25221220,Liam Andrade,-22.7862985,-43.3053106
24924235,João Guilherme Moraes,-22.9339527,-42.8245961
22470202,Agatha Carvalho,-22.9621372,-43.2076913
21020340,Isis Nascimento,-22.8345719,-43.2733608
25045220,João Gabriel Macedo,-22.7329342,-43.3173933
24431740,Isabel Oliveira,-22.8271487,-43.074608
24910640,Ravi Lucca Cavalcante,-22.8902054,-42.8540403
20211045,Fernanda Nunes,-22.9120655,-43.1974806
25720040,Stephany Leão,-22.4666096,-43.1525807
26415010,Thiago Gonçalves,-22.6940506,-43.6173889
26480065,Allana Abreu,-22.6439978,-43.6606463
28060330,André Rodrigues,-21.7295531,-41.3297485
24802200,Carlos Eduardo Albuquerque,-22.7134877,-42.8734951
27963770,Davi Lucca Costa,-22.3374405,-41.7531826
25571020,Joana Lima,-22.763618,-43.3416485
20740430,Nina Gomes,-22.902594,-43.3106921
27525825,Emilly Carvalho,-22.4755805,-44.4946322
26377425,Theodoro Oliveira,-22.7106685,-43.5522256
27430250,Sophie Câmara,-22.4085507,-44.2550744
24460160,Joana Duarte,-22.8272883,-43.0637646
27210256,Emilly Sampaio,-22.4925911,-44.0746354
23092650,Cecilia Moreira,-22.8813101,-43.5381274
24933635,Danilo Cavalcante,-22.9596633,-42.9361324
27923200,José Miguel Cunha,-22.3933616,-41.784431
25042110,Mariane da Rocha,-22.6290251,-43.2421869
23092320,Theo Aragão,-22.9307231,-43.5761064
23098054,Daniela Costela,-22.8759688,-43.526314
21941642,Olívia Andrade,-22.811262,-43.2269366
26515407,Vitória Cavalcanti,-22.8218951,-43.4181607
21381450,Matheus Barbosa,-22.8805951,-43.3160374
27532210,Bianca Costela,-22.4603971,-44.4798788
20725210,Nathan Pastor,-22.9178509,-43.2863937
26113660,Hadassa Cardoso,-22.7521799,-43.3900689
26296354,Manuella Mendes,-22.8116377,-43.6080346
27275175,Benjamin da Rocha,-22.4991591,-44.114654
27275690,Danilo Guerra,-22.4999018,-44.1202066
20071000,Anthony Gabriel Rezende,-22.9010786,-43.1792739
20530080,Yago Duarte,-22.9403841,-43.2456128
26510115,Pietro Pires,-22.8149247,-43.4157609
26265240,Dom Marques,-22.7642973,-43.4856854
24436175,Fernanda Borges,-22.8231815,-43.0622651
26163510,Ana Cecília Castro,-22.7245807,-43.3884867
21031550,Davi Lucca Martins,-22.8419859,-43.2572053
23934100,Lara Montenegro,-22.9748196,-44.2994811
26260024,Ryan Rodrigues,-22.7571054,-43.4717027
25610080,Sophia Santos,-22.5112498,-43.1779306
28907340,Igor Ribeiro,-22.8864074,-42.0221952
21530370,Sophie Camargo,-22.8247178,-43.3489325
27525594,Cecília da Mota,-22.4818191,-44.5069454
21655520,Nicole Pacheco,-22.8238795,-43.3981236
23545350,Ana Carolina Lima,-22.9699551,-43.7028011
21675380,Luan Nogueira,-22.8457134,-43.3768802
23071270,Carolina Mendes,-22.8916828,-43.5828517
24921005,Asafe Rios,-22.9339527,-42.8245961
27273290,Rhavi Garcia,-22.5199763,-44.1349871
28093090,João Miguel Cirino,-21.6947806,-41.3064979
27948370,Joana Costela,-22.3456427,-41.8009866
27321283,Ágatha Fonseca,-22.5313916,-44.1785852
20250180,Luiz Felipe Pereira,-22.9022813,-43.1901858
20270214,Arthur Miguel Pinto,-22.9325728,-43.2410248
25720173,Manuela Casa Grande,-22.5112498,-43.1779306
22641370,Marina Pinto,-22.986725,-43.3055003
24940640,Maria Isis Rodrigues,-22.9473722,-42.9124955
24920355,Thiago Ribeiro,-22.9339527,-42.8245961
28907430,Maria Flor Camargo,-22.8869007,-42.0266493
21021261,Antônio Pastor,-22.8486837,-43.2667767
27265680,Erick Farias,-22.5263531,-44.1287277
25821230,Augusto Gonçalves,-22.137492,-43.1688837
25730245,Kevin da Luz,-22.4237292,-43.1214108
25237150,Stella Silva,-22.7091525,-43.3175265
27963538,Laura Albuquerque,-22.3374405,-41.7531826
28614360,Thiago Moreira,-22.2919266,-42.5190829
24325190,Julia Garcia,-22.879941,-43.0369684
23933240,Maria Júlia Correia,-22.9729304,-44.292522
26285371,Samuel Gomes,-27.5326375,-48.6351489
26225790,Emanuel Sá,-22.7635297,-43.4244869
22735390,Catarina Lopes,-22.9180113,-43.3610277
24851532,Jade Pires,-22.8490859,-42.8932842
24919600,Maria Laura Ribeiro,-22.9339527,-42.8245961
27949362,Laís Caldeira,-22.3771985,-41.7891915
28915140,Isabelly Vargas,-22.8791085,-42.0323029
24805630,Evelyn Jesus,-22.7317447,-42.8145038
25042570,Vinicius Rios,-22.7604804,-43.3088697
20756170,Milena Camargo,-22.8876528,-43.3053585
26135570,Melina Teixeira,-22.7435908,-43.4209779
27525656,Alexia Silva,-22.4797914,-44.5079174
27960295,Maria Vitória Peixoto,-22.3505765,-41.7730858
25233225,Pietro Mendes,-22.7092509,-43.2956552
20080090,Sofia Lopes,-22.8989551,-43.1862193
21012351,Gael Henrique Macedo,-22.8395483,-43.2543474
26088175,Vicente Freitas,-22.7113882,-43.5393208
24943810,Calebe da Luz,-22.9473722,-42.9124955
26410100,Maria Julia da Cunha,-22.69576,-43.5967268
26140484,Oliver Cardoso,-22.7394148,-43.4259227
25045345,Valentim Gomes,-22.7862985,-43.3053106
26160065,Lucas Aparecida,-22.7375441,-43.3987237
24804352,Heloísa Monteiro,-22.7470831,-42.8331538
20760330,Jade Rocha,-22.8430037,-43.2843819
28053645,Oliver Almeida,-21.7503353,-41.3549754
24913065,Giovanna Pimenta,-22.9173877,-42.8479474
27310390,Thiago Lima,-22.539662,-44.1777743
24942290,Thomas Fonseca,-22.9473722,-42.9124955
24936590,Maria Julia Rios,-22.9634696,-42.9837656
26293555,Ana Vitória Moraes,-22.7969052,-43.5775394
23916180,Rafaela Porto,-23.011514,-44.2179552
25720170,Levi Cardoso,-22.4382018,-43.142587
28908655,Nathan Andrade,-22.8869007,-42.0266493
21236240,Luan Siqueira,-22.817151,-43.2017588
20765041,Hellena Barros,-22.8725639,-43.2860277
24465005,Maysa Rios,-22.8092415,-43.0526972
26250560,Manuella Câmara,-22.7671029,-43.4383869
26157400,Maria Clara Garcia,-22.7084369,-43.4054216
24322520,Isadora Sá,-22.8997178,-43.03331
26291374,Dom Costela,-22.777575,-43.5420812
25272214,Emanuella Rios,-22.6319177,-43.2185607
28634467,Caroline Castro,-22.1968245,-42.5156749
26545590,Ester das Neves,-22.8136356,-43.3972719
27961002,Maria Casa Grande,-22.3669509,-41.7760158
24802575,Diogo Araújo,-22.7212654,-42.8212828
23078430,Sophia Cavalcante,-22.9022352,-43.556903
21932640,Francisco Pastor,-22.8033738,-43.2116282
27963574,Joaquim das Neves,-22.3406043,-41.7587133
20710260,Cauê das Neves,-22.9080608,-43.2732406
24808036,Cauê Costa,-22.7544748,-42.8635185
