CEP,Nome,Latitude,Longitude
25041306,Manuela Carvalho,-22.7335923,-43.3173663
25901786,Lívia Rezende,-22.6488416,-43.0214926
21775360,Bárbara da Mota,-22.8927347,-43.4539439
26157356,Natália Dias,-22.7089002,-43.4032305
22710078,Mirella Rodrigues,-22.9499039,-43.3855139
20020010,Ian Castro,-22.9082596,-43.1727387
26113335,Milena Albuquerque,-22.7078844,-43.3439283
26155100,Anthony Gabriel Sampaio,-22.7217052,-43.4019757
27536185,Noah Duarte,-22.457007,-44.4296613
28630597,Maria Eduarda Farias,-22.2730447,-42.6163787
24120135,Antonella Cavalcanti,-22.8816243,-43.1084226
28909020,Manuella Santos,-22.9058227,-42.0495078
26377350,Melina Silva,-22.7412225,-43.5575355
22750460,Dante Azevedo,-22.9348995,-43.3360471
25215240,Maria Laura Cardoso,-22.7862985,-43.3053106
24722325,Levi Dias,-22.8003213,-42.9821165
23545324,Beatriz Costa,-22.9580611,-43.6907416
25980157,Maria Vitória Siqueira,-22.4169605,-42.9756016
25085273,Diogo Brito,-22.7923143,-43.2914273
26540017,Anthony Gabriel Silva,-22.8067006,-43.4018998
21932540,Hellena Siqueira,-22.800727,-43.210912
21010280,Beatriz Costela,-22.8167932,-43.2919971
25640130,Ravy Aparecida,-22.5236764,-43.1829124
22723780,Isabella Costela,-22.9161383,-43.4243561
25046080,Pietra Pereira,-22.7162057,-43.321652
25630070,Pedro Lucas Lima,-22.5270611,-43.1626063
25075010,Vicente Machado,-22.7873631,-43.3055222
21371070,Luan Leão,-22.8558216,-43.315785
22021050,Giovanna Viana,-22.9697777,-43.1868592
21531660,Caio da Cruz,-22.8232849,-43.341564
20081280,Raul Costela,-22.8978715,-43.1844469
26510240,Arthur Duarte,-22.8167637,-43.4151527
28630585,João Lucas Moreira,-22.2533736,-42.6118937
20740620,Laura Santos,-22.8989836,-43.3176558
24070160,Cauê Leão,-22.8941308,-43.1098899
25055300,Luiz Otávio das Neves,-22.7537637,-43.2825733
20740410,Lorenzo Carvalho,-22.9031214,-43.3127348
23915500,Luiz Felipe Sá,-23.0038454,-44.2279784
27267180,Emilly Casa Grande,-22.5038902,-44.1395176
25710440,José Miguel Barbosa,-22.4543321,-43.1416253
26380354,Matteo Camargo,-22.7105703,-43.5507138
26383330,José Montenegro,-22.7123243,-43.5585629
24800470,Leonardo Moura,-22.7319725,-42.8575959
24804063,Luiza Campos,-22.7399735,-42.8485244
22051030,Hellena Pacheco,-22.9711384,-43.1903044
27944773,Arthur Miguel Albuquerque,-22.3833534,-41.7947647
24440680,Maria Cecília das Neves,-22.8243047,-43.0542206
25213020,Stella Casa Grande,-22.6741617,-43.2824793
28070022,Caio Machado,-21.7210448,-41.3217926
28080430,Joana da Cruz,-21.7626682,-41.3184501
26556130,Julia das Neves,-22.7820994,-43.4377332
20766350,Maitê Borges,-22.8609415,-43.2710397
24445390,Olivia Pereira,-22.8260608,-43.0471783
26373295,Manuella Pinto,-22.7456254,-43.627185
23515633,Maria Eduarda da Rosa,-22.9289406,-43.6853922
24727009,Olivia Ferreira,-22.7704373,-42.9560563
23088170,Heloisa Sousa,-22.886876,-43.5505918
25977320,Felipe Rios,-22.3766047,-42.9325894
25250581,Benicio Souza,-22.5954287,-43.3167767
27281190,Nicole Viana,-22.4931035,-44.1018092
25750611,Lorena Casa Grande,-22.3372547,-43.1392398
26510052,Clarice Alves,-22.8164727,-43.4102319
21840105,Camila Pereira,-22.8682456,-43.4723478
24725225,Alice Teixeira,-22.8047775,-42.9643824
28908665,Natália Martins,-22.8869007,-42.0266493
28633020,Sarah Farias,-22.2887261,-42.5340796
28060180,Heloisa Camargo,-21.7554392,-41.326032
20761180,Maria Luiza Martins,-22.8740829,-43.2855365
21655419,Maria Júlia Araújo,-22.8238795,-43.3981236
21911420,Eduardo das Neves,-22.7881354,-43.1746232
24451490,Bárbara Aragão,-22.836639,-43.0159971
24941870,Bella Ribeiro,-22.9473722,-42.9124955
25250575,Maria Flor Almeida,-22.5876619,-43.3041465
20230090,João Lucas Camargo,-22.9148957,-43.1821184
26010450,Luísa Rodrigues,-22.7541817,-43.4211068
25610141,Noah Sampaio,-22.5084261,-43.1664846
26086060,Luiz Miguel Araújo,-22.7201738,-43.5246361
24921680,Caroline Moraes,-22.9339527,-42.8245961
23071310,Breno da Costa,-22.8878238,-43.5807774
27930035,Ana Laura Carvalho,-22.3946958,-41.8230424
25250150,Maria Liz Ferreira,-22.6021452,-43.3012686
26282290,Renan Rios,-22.65,-43.4166669
23092070,Sara Viana,-22.9035842,-43.5662438
26373000,Ana Júlia Dias,-22.72577,-43.6341567
