CEP,Latitude,Longitude,Nome
26525030,-22.7658998,-43.4280819,Léo Pereira
24722550,-22.800892,-42.9783484,Alexia Andrade
25221430,-22.7862985,-43.3053106,Luigi Rezende
25211011,-22.6640928,-43.2547175,Alexia Sá
26525030,-22.7658998,-43.4280819,Renan Cavalcante
22290040,-22.9533856,-43.1782544,Ester da Rosa
26113460,-22.7575796,-43.3993359,Allana Ferreira
27323000,-22.5393022,-44.1700342,Vinicius Carvalho
22290040,-22.9533856,-43.1782544,Emilly Mendonça
27323000,-22.5393022,-44.1700342,Sarah Peixoto
21230700,-22.8298899,-43.3173404,Helena Mendonça
21046635,-22.8730194,-43.2404863,Maria Cecília Melo
23822205,-22.8577192,-43.7742975,Camila Campos
21625135,-22.8336818,-43.4019728,Theodoro Ferreira
21046635,-22.8730194,-43.2404863,Melina Fogaça
25211011,-22.6640928,-43.2547175,Mirella Jesus
26525030,-22.7658998,-43.4280819,João Araújo
23822205,-22.8577192,-43.7742975,Luiz Felipe Lima
28922165,-22.8478877,-42.0410217,Heloísa Ramos
21840517,-22.8742263,-43.4685442,Esther Carvalho
25211011,-22.6640928,-43.2547175,Ana Júlia Aragão
25221430,-22.7862985,-43.3053106,Alana Siqueira
27323000,-22.5393022,-44.1700342,Sarah Melo
27323000,-22.5393022,-44.1700342,Lucas Albuquerque
21230700,-22.8298899,-43.3173404,Kamilly Almeida
21230700,-22.8298899,-43.3173404,Bruna Mendonça
24722550,-22.800892,-42.9783484,Ryan Peixoto
21046635,-22.8730194,-43.2404863,Beatriz da Paz
26525030,-22.7658998,-43.4280819,Maria Cecília Almeida
26270490,-22.7733788,-43.5132121,Anthony Pires
