CEP,Nome,Latitude,Longitude
25730004,Caleb Abreu,-22.5112498,-43.1779306
25250280,Cecilia Nogueira,-22.600515,-43.3039615
26323546,Sarah da Mata,-22.7230241,-43.5600939
21820260,Augusto da Paz,-22.8868441,-43.4814882
22773020,Pedro Lucas Souza,-22.9487471,-43.3670753
26261380,Ana Laura Silva,-22.760345,-43.4816781
20031915,Bárbara Sá,-22.9105393,-43.1770056
27971335,João Vitor Ferreira,-22.31485,-41.7556709
27310470,Enzo Costela,-22.5378962,-44.1775676
23935355,Gabriela da Cunha,-22.9619383,-44.4389191
21371150,Luan Nunes,-22.8559821,-43.3196033
24750520,Arthur Rios,-22.8644133,-43.03651
26260375,Kevin Fonseca,-22.7589585,-43.4771294
24722412,Dante da Mata,-22.7939027,-42.9549486
28908010,Melissa Camargo,-22.8951851,-42.0348774
26031180,Carlos Eduardo Castro,-22.7352951,-43.4752824
22750370,Murilo Viana,-22.947381,-43.3371697
26292342,Ana Laura Pires,-22.7628064,-43.5573913
23831030,Vitor Hugo Moraes,-22.8631923,-43.7779091
26377330,Oliver Sá,-22.7407459,-43.5575716
25924000,Alice Cardoso,-22.7116669,-43.132261
27288463,Thales Abreu,-22.463314,-44.1001902
24859160,João Felipe Cassiano,-22.786301,-42.9334587
24030270,Caio Mendes,-22.8837038,-43.115699
25935718,Vitória Barros,-22.6150099,-43.1828558
21330290,Noah Mendes,-22.8856767,-43.3722472
25272015,José Dias,-22.6266258,-43.2177304
27135420,Nina Sá,-22.4720256,-43.8273373
27213280,Ana Laura Aparecida,-22.5080407,-44.0921675
25571010,Aylla Novais,-22.7645278,-43.341234
24752615,Ana Vitória Santos,-22.8814307,-42.9801898
26012200,Brenda Almeida,-22.740286,-43.4355248
22723120,Joana Leão,-22.9117558,-43.3969347
25635500,Leonardo Mendonça,-22.5278012,-43.1783486
22271044,Maria Fernanda Ramos,-22.9567123,-43.1984978
20740260,Helena Pires,-22.8934547,-43.3115886
21645060,Heloísa Campos,-22.8184794,-43.3979758
21775201,Juan Pereira,-22.8780979,-43.4483194
25235443,Isabella Guerra,-22.6802658,-43.3536025
26155375,Cauê Campos,-22.7114669,-43.4031967
24415210,Juan Pinto,-22.8426875,-43.0783355
