Nome_Candidato,Escola_Alocada,Distancia_km
Renan Cavalcante,COLEGIO ESTADUAL MESTRE HIRAN,2.888684658709829
Bruna Mendonça,ESCOLA MUNICIPAL MENDES VIANA,1.655010194343702
Heloísa Ramos,COLÉGIO ESTADUAL BARRA DE SÃO JOÃO,29.067538933767803
Lara Fogaça,COLÉGIO CENECISTA MARECHAL RONDON,11.307678806607537
Luara Aragão,COLÉGIO ESTADUAL BARRA DE SÃO JOÃO,31.336505984932653
Lucas Albuquerque,ESCOLA ESTADUAL OTÁVIO TEIXEIRA,15.094430051157342
Beatriz da Paz,ESCOLA MUNICIPAL DELFIM MOREIRA,2.6120151281369077
Cecília Lima,COLEGIO MERCEDARIO PIO XII MERCES,2.7436542404367184
Maria Alice Pires,ESCOLA MUNICIPAL PROFESSOR DARCY RIBEIRO,5.5955178162391315
Allana Ferreira,COLEGIO ESTADUAL MESTRE HIRAN,5.736635726241167
Francisco Fernandes,COLÉGIO ESTADUAL MARIETA CUNHA DA SILVA,0.036011486751563335
Cecília da Mota,ESCOLA MUNICIPAL PROFESSOR DARCY RIBEIRO,3.77632725096669
Mirella Jesus,COLÉGIO ESTADUAL PRINCESA ISABEL,15.364974401414745
Alexia Andrade,ESCOLA ESTADUAL CRUZEIRO DO SUL,5.08703445321441
Alana Siqueira,ESCOLA MUNICIPAL OLÍMPIA DO COUTO,4.806098875261259
Mathias Costela,ESCOLA MUNICIPAL CILENCINA RUBEM DE OLIVEIRA MELO,27.45325940006273
Luiz Felipe Lima,COLÉGIO APOLLO 12 (APOLINHO),12.680495784274777
Emilly Mendonça,ESCOLA ELEVA,0.07273602700704815
Arthur Miguel Viana,ESCOLA MUNICIPAL PAULO REGLUS NEVES FREIRE,15.456486726590509
Anthony Pires,COLEGIO ESTADUAL MESTRE HIRAN,6.172641975604907
Arthur Miguel Cavalcanti,COLÉGIO ESTADUAL MARIETA CUNHA DA SILVA,4.0114071862846234
Benício Cassiano,COLEGIO MERCÚRIO,4.581543905678222
Caio Camargo,COLÉGIO ANGELORUM,9.240705339697724
Vinicius Carvalho,ESCOLA ESTADUAL OTÁVIO TEIXEIRA,15.094430051157342
Alexia Sá,COLÉGIO ESTADUAL PRINCESA ISABEL,15.364974401414745
Maria Cecília Melo,ESCOLA MUNICIPAL DELFIM MOREIRA,2.6120151281369077
Pedro Henrique Marques,ESCOLA ESTADUAL OTÁVIO TEIXEIRA,15.094430051157342
Ana Júlia Aragão,COLÉGIO ESTADUAL PRINCESA ISABEL,15.364974401414745
Helena Mendonça,ESCOLA MUNICIPAL MENDES VIANA,1.655010194343702
Esther Carvalho,COLÉGIO ESTADUAL MARIETA CUNHA DA SILVA,0.036011486751563335
Ester da Rosa,ESCOLA ELEVA,0.07273602700704815
João Lucas Vieira,ESCOLA MUNICIPAL OLÍMPIA DO COUTO,4.806098875261259
Sarah Melo,ESCOLA ESTADUAL OTÁVIO TEIXEIRA,15.094430051157342
Kamilly Almeida,ESCOLA MUNICIPAL MENDES VIANA,1.655010194343702
Clarice Rios,COLEGIO MERCÚRIO,4.581543905678222
Camila Campos,COLÉGIO APOLLO 12 (APOLINHO),12.680495784274777
Ryan Peixoto,ESCOLA ESTADUAL CRUZEIRO DO SUL,5.08703445321441
João Araújo,COLEGIO ESTADUAL MESTRE HIRAN,2.888684658709829
Maya Camargo,COLEGIO MERCEDARIO PIO XII MERCES,2.7436542404367184
Sofia Oliveira,ESCOLA ESTADUAL OTÁVIO TEIXEIRA,15.094430051157342
Allana das Neves,ESCOLA ESTADUAL CRUZEIRO DO SUL,5.08703445321441
Maria Cecília Almeida,COLEGIO ESTADUAL MESTRE HIRAN,2.888684658709829
Léo Pereira,COLEGIO ESTADUAL MESTRE HIRAN,2.888684658709829
Beatriz da Paz,ESCOLA MUNICIPAL DELFIM MOREIRA,2.6120151281369077
Melina Fogaça,ESCOLA MUNICIPAL DELFIM MOREIRA,2.6120151281369077
Daniela Costa,COLÉGIO ANGELORUM,9.240705339697724
Theodoro Ferreira,COLEGIO MERCEDARIO PIO XII MERCES,2.7436542404367184
Sarah Peixoto,ESCOLA ESTADUAL OTÁVIO TEIXEIRA,15.094430051157342
Júlia da Rosa,COLÉGIO ESTADUAL MARIETA CUNHA DA SILVA,0.036011486751563335
Luigi Rezende,ESCOLA MUNICIPAL OLÍMPIA DO COUTO,4.806098875261259
Nicole Cardoso,COLÉGIO ESTADUAL MARIETA CUNHA DA SILVA,0.036011486751563335
